Type;Base Entity                         ;Rel ;Type;Target Entity
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-04  security
REQU;NF-REQ-04  security                 ;USES;DATA;customers
REQU;NF-REQ-04  security                 ;USES;DATA;system
REQU;NF-REQ-04  security                 ;EXEC;TEST;ORDERS0030
REQU;NF-REQ-04  security                 ;USES;DATA;persons
REQU;NF-REQ-04  security                 ;EXEC;TEST;ORDERS0031
REQU;NF-REQ-04  security                 ;USES;DATA;system
REQU;NF-REQ-04  security                 ;USES;DATA;persons
REQU;NF-REQ-04  security                 ;EXEC;TEST;ORDERS0032
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-05 Recoverability
REQU;NF-REQ-05 Recoverability            ;USES;DATA;system_crash
REQU;NF-REQ-05 Recoverability            ;USES;DATA;system
REQU;NF-REQ-05 Recoverability            ;USES;DATA;minutes
REQU;NF-REQ-05 Recoverability            ;USES;DATA;data
REQU;NF-REQ-05 Recoverability            ;USES;DATA;state
REQU;NF-REQ-05 Recoverability            ;USES;DATA;crash
REQU;NF-REQ-05 Recoverability            ;EXEC;TEST;ORDERS0033
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-06 DataSecurity
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;customer
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;article_data
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;backup_database
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;day
REQU;NF-REQ-06 DataSecurity              ;EXEC;TEST;ORDERS0034
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;backup_data
REQU;NF-REQ-06 DataSecurity              ;USES;DATA;year
REQU;NF-REQ-06 DataSecurity              ;EXEC;TEST;ORDERS0035
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-07  usability
REQU;NF-REQ-07  usability                ;USES;DATA;system_user_interface
REQU;NF-REQ-07  usability                ;USES;DATA;score
REQU;NF-REQ-07  usability                ;EXEC;TEST;ORDERS0036
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-08 Maintainability
REQU;NF-REQ-08 Maintainability           ;USES;DATA;system_source_code
REQU;NF-REQ-08 Maintainability           ;USES;DATA;index
REQU;NF-REQ-08 Maintainability           ;USES;DATA;code_audit
REQU;NF-REQ-08 Maintainability           ;EXEC;TEST;ORDERS0037
